Species,Wingspan,Weight_females,Weight_males,Length
Falco columbarius,64,228,180,28
Falco tinnunculus,75,234,194,31
Falco sparverius,56,125,112,26
Falco longipennis,77,305,206,33
Falco subbuteo,74,241,182,32
Falco rufigularis,66,210,129,27
Falco peregrinus,97,1098,735,43
Falco rusticolus,120,1640,1110,54
Falco naumanni,66,173,131,31
Falco cenchroides,72,194,158,32
Falco rupicoloides,76,246,225,33
Falco vespertinus,71,164,153,30
Falco amurensis,67,150,126,29
Falco biarmicus,101,800,515,44
Falco femoralis,89,366,257,40
Falco eleonorae,95,400,370,39
Falco mexicanus,102,888,527,42
